相変わらず,相[あい] 変[か]わらず,as before/usual,
気の毒,気[き]の 毒[どく],feeling sorry for,
きびきび,きびきび,"briskly, energetically",
寄付金,寄[き] 付[ふ] 金[きん],donation,
規模,規[き] 模[ぼ],scale,
希望,希[き] 望[ぼう],"hope, wish",
気まぐれ,気[き]まぐれ,whimsy,
気まずい,気[き]まずい,awkward,
期末試験,期[き] 末[まつ] 試[し] 験[けん],end-of-term exam,
決まって,決[き]まって,"always, without fail",
～気味,～ 気[ぎ] 味[み],"a touch of ～, a little ～",
逆～,逆[ぎゃく]～,reverse/opposite/inverse ～,
客席,客[きゃく] 席[せき],audience/guest seats,
球,球[きゅう],sphere,
旧～,旧[きゅう]～,old ～,
急～,急[きゅう]～,rapid/sudden/sharp ～,
休暇,休[きゅう] 暇[か],holiday,
急カーブ,急[きゅう]カーブ,sharp curve,
休業,休[きゅう] 業[ぎょう],"closure, shutdown",
休憩,休[きゅう] 憩[けい],break,
休講,休[きゅう] 講[こう],lecture cancellation,
救済,救[きゅう] 済[さい],"help, relief",
旧市街,旧[きゅう] 市[し] 街[がい],old town,
急上昇,急[きゅう] 上[じょう] 昇[しょう],sudden rise,
旧姓,旧[きゅう] 姓[せい],maiden name,
急接近,急[きゅう] 接[せっ] 近[きん],rapid approach,
休息,休[きゅう] 息[そく],rest,
旧体制,旧[きゅう] 体[たい] 制[せい],old system,
急展開,急[きゅう] 展[てん] 開[かい],rapid development,
急テンポ,急[きゅう]テンポ,quick tempo,
牛乳パック,牛[ぎゅう] 乳[にゅう]パック,milk carton,
急ブレーキ,急[きゅう]ブレーキ,sudden braking,
休養,休[きゅう] 養[よう],"rest, recreation",
給料,給[きゅう] 料[りょう],salary,
器用,器[き] 用[よう],"dexterity, skilfulness",反.  不[ぶ] 器[き] 用[よう]<br>clumsy
～業,～ 業[ぎょう],～ industry,
教育実習,教[きょう] 育[いく] 実[じっ] 習[しゅう],teaching practice,
教員,教[きょう] 員[いん],teaching staff,
強化,強[きょう] 化[か],strengthening,
教科書,教[きょう] 科[か] 書[しょ],textbook,
競技,競[きょう] 技[ぎ],competition,
競技場,競[きょう] 技[ぎ] 場[じょう],stadium,
供給,供[きょう] 給[きゅう],supply,
教師,教[きょう] 師[し],teacher,
行事,行[ぎょう] 事[じ],event,
教授,教[きょう] 授[じゅ],professor,
業績,業[ぎょう] 績[せき],accomplishment,
競争率,競[きょう] 争[そう] 率[りつ],competition rate,
興味深い,興[きょう] 味[み] 深[ぶか]い,interesting,
行列,行[ぎょう] 列[れつ],"line, queue",
許可証,許[きょ] 可[か] 証[しょう],"licence, permit",
曲,曲[きょく],"number, piece of music",
距離,距[きょ] 離[り],distance,
嫌う,嫌[きら]う,to hate,
気楽,気[き] 楽[らく],carefree,
霧,霧[きり],fog,
議論,議[ぎ] 論[ろん],discussion,
極めて,極[きわ]めて,extremely,
気を落とす,気[き]を 落[お]とす,to be discouraged,
気を遣う,気[き]を 遣[つか]う,"to take care of, to be considerate",
気を取られる,気[き]を 取[と]られる,to be distracted,
菌,菌[きん],fungus,
～金,～ 金[きん],～ fee,
金額,金[きん] 額[がく],amount of money,
銀行口座,銀[ぎん] 行[こう] 口[こう] 座[ざ],bank account,
金属製,金[きん] 属[ぞく] 製[せい],made of metal,
緊張,緊[きん] 張[ちょう],"strain, tension",
緊張感,緊[きん] 張[ちょう] 感[かん],tense atmosphere,
金融界,金[きん] 融[ゆう] 界[かい],financial world,
金融危機,金[きん] 融[ゆう] 危[き] 機[き],financial crisis,
～具,～ 具[ぐ],～ gear/implement,
クイズ番組,クイズ 番[ばん] 組[ぐみ],quiz show,
食う,食[く]う,to eat,
空間,空[くう] 間[かん],space,
偶然,偶[ぐう] 然[ぜん],"by accident, by chance",
茎,茎[くき],stalk,
腐る,腐[くさ]る,"to go bad/off, to rot",
くし,くし,comb,
くしゃみ,くしゃみ,sneeze,
苦情,苦[く] 情[じょう],complaint,
崩す,崩[くず]す,"to break, to demolish",
～崩れ,～ 崩[くず]れ,～ slide,
具体性,具[ぐ] 体[たい] 性[せい],concreteness,
具体的,具[ぐ] 体[たい] 的[てき],concrete,
くたくた,くたくた,exhausted,
くたびれる,くたびれる,to be exhausted,
くだらない,くだらない,"stupid, trashy",
下り電車,下[くだ]り 電[でん] 車[しゃ],down train,
口がうまい,口[くち]がうまい,smooth talker,
口が重い,口[くち]が 重[おも]い,taciturn,
口が堅い,口[くち]が 堅[かた]い,tight-lipped,
口が軽い,口[くち]が 軽[かる]い,to be a blabbermouth,
口が滑る,口[くち]が 滑[すべ]る,to make a slip of the tongue,
口に合う,口[くち]に 合[あ]う,to suit someone's taste,
口にする,口[くち]にする,to talk,
口に出す,口[くち]に 出[だ]す,to say,
ぐちゃぐちゃ,ぐちゃぐちゃ,messy,
口を出す,口[くち]を 出[だ]す,"to have one's say (in an unconnected matter), to interfere",
